date,rr,precipitation
20000104,    2,0.2
20000105,    8,0.8
20000106,    0,0
20000107,   20,2
20000108,    0,0
20000109,    2,0.2
20000110,    0,0
20000111,    0,0
20000112,   28,2.8
20000113,    2,0.2
20000114,    3,0.3
20000115,    0,0
20000116,    0,0
20000117,    0,0
20000118,    2,0.2
20000119,    0,0
20000120,    0,0
20000121,    2,0.2
20000122,   12,1.2
20000123,    0,0
20000124,    0,0
20000125,    0,0
20000126,    0,0
20000127,    0,0
20000128,   22,2.2
20000129,    0,0
20000130,    0,0
20000131,    0,0
20000201,   98,9.8
20000202,    0,0
20000203,    0,0
20000204,    0,0
20000205,    0,0
20000206,   18,1.8
20000207,   38,3.8
20000208,   22,2.2
20000209,    6,0.6
20000210,   30,3
20000211,   38,3.8
20000212,    8,0.8
20000213,    0,0
20000214,   18,1.8
20000215,   12,1.2
20000216,    0,0
20000217,   22,2.2
20000218,    2,0.2
20000219,    2,0.2
20000220,    6,0.6
20000221,    0,0
20000222,    0,0
20000223,    0,0
20000224,  168,16.8
20000225,    0,0
20000226,    0,0
20000227,   52,5.2
20000228,   26,2.6
20000229,   56,5.6
20000301,    2,0.2
20000302,   72,7.2
20000303,    2,0.2
20000304,    0,0
20000305,    0,0
20000306,    0,0
20000307,    0,0
20000308,    0,0
20000309,    0,0
20000310,    0,0
20000311,    0,0
20000312,    0,0
20000313,    0,0
20000314,    0,0
20000315,    0,0
20000316,    0,0
20000317,    0,0
20000318,    0,0
20000319,    0,0
20000320,    0,0
20000321,    0,0
20000322,    0,0
20000323,   16,1.6
20000324,    2,0.2
20000325,   26,2.6
20000326,    8,0.8
20000327,   20,2
20000328,   12,1.2
20000329,    0,0
20000330,    0,0
20000331,    0,0
20000401,    6,0.6
20000402,  160,16
20000403,  172,17.2
20000404,   12,1.2
20000405,    0,0
20000406,    0,0
20000407,    0,0
20000408,   36,3.6
20000409,    0,0
20000410,    6,0.6
20000411,   60,6
20000412,   64,6.4
20000413,   18,1.8
20000414,  118,11.8
20000415,   18,1.8
20000416,   26,2.6
20000417,   56,5.6
20000418,   52,5.2
20000419,   24,2.4
20000420,   20,2
20000421,    8,0.8
20000422,    0,0
20000423,    2,0.2
20000424,   50,5
20000425,   38,3.8
20000426,    2,0.2
20000427,    0,0
20000428,   48,4.8
20000429,    0,0
20000430,    0,0
20000501,    0,0
20000502,    2,0.2
20000503,    0,0
20000504,    0,0
20000505,    0,0
20000506,    0,0
20000507,    0,0
20000508,    2,0.2
20000509,    0,0
20000510,   46,4.6
20000511,   26,2.6
20000512,    0,0
20000513,    0,0
20000514,   24,2.4
20000515,    0,0
20000516,    0,0
20000517,   42,4.2
20000518,   44,4.4
20000519,   20,2
20000520,  116,11.6
20000521,   18,1.8
20000522,    0,0
20000523,   22,2.2
20000524,   86,8.6
20000525,    2,0.2
20000526,  188,18.8
20000527,  190,19
20000528,   30,3
20000529,    0,0
20000530,    0,0
20000531,   14,1.4
20000601,    0,0
20000602,    0,0
20000603,    0,0
